permno,yyyymm,am,aop,abnormalaccruals,accruals,accrualsbm,activism1,activism2,adexp,ageipo,analystrevision,analystvalue,announcementreturn,assetgrowth,bm,bmdec,bpebm,beta,betafp,betaliquidityps,betatailrisk,bidaskspread,bookleverage,brandinvest,cboperprof,cf,cpvolspread,cash,cashprod,chassetturnover,cheq,chforecastaccrual,chinv,chinvia,chnanalyst,chnncoa,chnwc,chtax,changeinrecommendation,citationsrd,compequiss,compositedebtissuance,consrecomm,convdebt,coskewacx,coskewness,credratdg,customermomentum,debtissuance,delbreadth,delcoa,delcol,deldrc,delequ,delfinl,dellti,delnetfin,divinit,divomit,divseason,divyieldst,dolvol,downrecomm,ebm,ep,earnsupbig,earningsconsistency,earningsforecastdisparity,earningsstreak,earningssurprise,entmult,equityduration,exchswitch,exclexp,feps,fr,firmage,firmagemom,forecastdispersion,frontier,gp,governance,gradexp,grltnoa,grsaletogrinv,grsaletogroverhead,herf,herfasset,herfbe,high52,io_shortinterest,idiovol3f,idiovolaht,illiquidity,indipo,indmom,indretbig,intmom,intanbm,intancfp,intanep,intansp,invgrowth,investppeinv,investment,lrreversal,leverage,mrreversal,ms,maxret,meanrankrevgrowth,mom12m,mom12moffseason,mom6m,mom6mjunk,momoffseason,momoffseason06yrplus,momoffseason11yrplus,momoffseason16yrplus,momrev,momseason,momseason06yrplus,momseason11yrplus,momseason16yrplus,momseasonshort,momvol,noa,netdebtfinance,netdebtprice,netequityfinance,netpayoutyield,numearnincrease,opleverage,oscore,operprof,operprofrd,optionvolume1,optionvolume2,orderbacklog,orderbacklogchg,orgcap,ps,patentsrd,payoutyield,pctacc,pcttotacc,predictedfe,pricedelayrsq,pricedelayslope,pricedelaytstat,probinformedtrading,rd,rdability,rdipo,rds,rdcap,rev6,rio_disp,rio_mb,rio_turnover,rio_volatility,rivolspread,realizedvol,recomm_shortinterest,residualmomentum,returnskew,returnskew3f,revenuesurprise,roe,sp,shareiss1y,shareiss5y,sharerepurchase,sharevol,shortinterest,smileslope,spinoff,surpriserd,tax,totalaccruals,trendfactor,uprecomm,varcf,volmkt,volsd,volumetrend,xfin,betavix,cfp,dcpvolspread,dnoa,dvolcall,dvolput,fgr5yrlag,grcapx,grcapx3y,hire,iomom_cust,iomom_supp,realestate,retconglomerate,roaq,sfe,sinalgo,skew1,std_turn,tang,zerotrade,zerotradealt1,zerotradealt12,ret,rf,excessret
15069,200304,2.2860067,0.5368464,-0.006325831,0.11409075,0,14,9.6497748,0.029112435,47,1.0245614,0.81827927,-0.02866822,-0.05888918,-0.63068908,0.67196089,-0.22051784,0.22706222,0.30891851,0.014270609,0.393559446,0.006607224,-2.5860188,-1505.8122,0.23250046,0.3619853,0.003314376,0.030154239,13.810449,0.008188009,-1.0196079,0.8,0.001020376,0.79704875,0,-0.079187244,0.025463674,0.00105042,2.5,0,0.13160364,-0.20702788,0,0,-0.18451141,0.29452196,0,0.008679531,-1,0.414,0.056822166,0.033863716,0.017412575,-0.00605848,-0.094512291,-0.036988616,-0.057523675,0,0,1,3,-6.4513941,0,0.47964165,0.20354727,0.391962136,0.240256738,52.325966,0.003892734,0.61429995,-2.4247007,-14.393946,0,0,2.9200001,-0.073275805,-929,-0.015838778,-0.12671232,-0.419961357,0.31080663,-10,-0.055676505,0.057436369,0.14898475,0.039513241,-0.17199059,-0.112923932,-0.119799695,0.76358145,76.8829998,-0.009335642,-0.014407567,4.62E-10,0,0.07606452,-0.005454668,-0.19851482,0.17655213,0.30528933,0.19934481,0.31171474,0.027839739,-0.05777311,-0.98926169,-0.17814454,1.3076258,-0.094753116,6,-0.017521907,2374.2666,-0.14239395,-0.007751217,0.17163476,0.0345749,-0.002056439,-0.013363518,0.001410911,-0.009657321,0,0.036420643,0.041405901,0.006147953,0.05153244,-0.048520282,8,-0.63537288,0.010203756,-0.42378074,0.021045247,0.042161159,1,1.517267,0,0.79757082,0.25686651,-389.84622,-0.76490575,-0.317907532,-0.182443598,0.057338879,6,0,0.044014394,1.7587253,1.3821656,-0.057921022,0.17243068,1.2846467,2.4576128,0.17877998,0.039250841,2.44416114,0,-68.344411,0.18639575,0.049436674,4.8,1,1,3.4,0.052942976,-0.010742254,1,0.064546227,-0.2881986,-0.079498563,1.4507487,0.031781375,4.0556812,-0.002923202,-0.074358068,1,-0.8,-11350.915,-0.003414989,0,0.8,1.9293302,0.018054096,0.23818094,1,-0.006945751,-0.096725516,-4.954883956,-0.005588105,0.030380061,-0.000427059,0.51534009,-0.005199015,-0.078715861,-0.022241995,0.02744101,-9.4899998,-0.18940493,-1.2072183,0.007179637,3.2700317,11.40774,0.16355309,-0.04762451,0.011173821,0.082181517,0,-0.059004554,-0.104149654,0.761250176,2.17E-08,1.81E-08,2.19E-08,-0.050063,0.000939,-0.051002
11599,200304,1.1453824,0.11818226,-0.052503137,0.024320813,1,17,12.25369574,0.178918234,47,1,0.53642017,-0.027050215,0.47523308,-0.37022877,0.6925596,-0.003107607,0.272460928,0.4243677,0.025057197,0.263887121,0.008515481,-1.3951125,-744.068638,0.16199256,0.17776091,0.036236704,0.045394275,2.4147284,0.73047853,-1.0431409,0.6,-0.004235194,0.61215472,-0.4,-0.49208611,-0.53356552,0.001972587,0.8,1,2.1353743,2.2670343,0,0,0.082451306,0.29674447,0,0.01358782,0,-0.034799998,0.001135929,0.5112173,0.152006829,-0.020404657,0.13719152,0,0.13719152,0,0,1,2,-0.53248531,0,0.8178888,0.083756216,0.14286602,0.197873186,10.60465,0.006779661,-0.042251259,-4.856534,-15.060997,0,0.01,0.50999999,-0.049472023,-189,-0.015838778,-0.039215688,0.11871052,0.42600214,-7,0.11230088,0.34091511,-0.29101706,-0.077908978,-0.823604483,-0.765249938,-0.729229308,0.89051098,49.5909986,-0.008417308,-0.033104795,3.32E-07,0,-0.064584531,0.047533157,-0.066184744,-0.34702912,-0.47312573,-0.52509743,-1.2542479,-0.01604422,0.018442886,-0.88717973,-0.92879307,0.32133481,-0.076057665,4,-0.033333346,4352.9331,-0.050934341,-0.014398191,0.043362122,0.043362122,-0.022549741,-0.011127442,-0.028843062,-0.026682786,0.2,0.089840911,0.062229507,0.061793834,-0.008574767,-0.054098345,1.8,-0.38536274,0.13719152,-0.017064348,0.021800028,0.039640445,3,1.2193297,0,0.23947786,0.20850609,-325.3984876,-0.597509436,-0.13483198,-0.070384338,1.5800942,7,1,0.059447914,0.86847311,-13.62928,-0.007736243,0.34974113,-4.4043307,1.8244779,0.206651178,0.029397352,0.450379296,0,-0.88180006,0.047600348,0.021218535,4,2,4,4,-0.027650552,-0.012257314,1,-0.18574692,-0.434343498,-0.183684716,1.5622216,0.094018914,1.6060206,-0.017735422,0.00986606,1,-0.6,-1327.7224,-0.000441813,0,0,0.97209841,-0.4612138,0.24547745,0.4,-0.016304994,-0.021012964,-0.76570485,0.008569148,0.23098356,0.000924584,0.14321218,-0.020819008,-0.36215943,-0.074969213,0.095788221,-27.666,0.63321716,-0.4701564,-0.069841273,6.9816279,10.751189,-0.037168951,-0.077135041,0.01536814,0.087931029,0,-0.05878118,-0.02814968,0.76005369,1.54E-07,1.34E-07,1.35E-07,0.073944,0.000939,0.073005
14008,200304,0.081509329,-0.45679033,-0.022881857,0.024183674,0,15,0,0.012396962,44.2,1,0.46927196,0.026423402,-0.19325505,-2.4259994,0.088389747,0.026845962,0.558853126,0.92071986,-0.418262787,0.282436624,0.005655975,-1.2349727,-19538.8522,0.43584609,0.017528726,0.001067489,0.19236135,-27.272289,-0.13401699,-1.2092247,0.8,-0.008511572,0.70402724,0,0.034551248,-0.018386925,0.025038892,1,1,1.4602512,-0.60006362,0,0,-0.14144869,0.10635486,0,0.10751072,0,1.086,-0.048536226,-0.023744585,0.008005031,-0.15244834,-3.38E-05,0.011720301,0.017208917,0,0,0.6,0.2,-9.3387718,0,0.092846878,0.018684776,0.384070482,-0.149183206,6.1087055,0.000396983,0.53525257,-37.557819,-18.578323,0,0,1.76,-0.027084424,-239,0.047909364,-0.017045455,-1.4531384,0.60189968,-12,-0.083693424,-0.000267128,-0.30054727,-0.013530063,-0.091111171,-0.046172366,-0.058358953,0.99853396,104.0279992,-0.011852073,-0.025990681,3.19E-11,0,0.023612795,0.065701976,-0.30127347,-2.3732231,-1.331744,-1.4261537,-3.0982373,-0.14249152,-0.081691235,-1.0154722,0.027617108,0.015508418,-0.015484079,6,-0.04693142,3076.8,0.088313118,0.037397748,0.23603946,-0.016472678,-0.031629834,-0.019684704,-0.045922052,-0.018184217,0.6,0.066510551,0.041055109,0.023684571,0.13395089,-0.099281393,9,-0.51448256,0,0.291954804,0.07765121,0.007672823,1,0.30626562,0,0.38643333,0.45124242,-2010.8362,-1.2222123,-0.26281804,0.022480637,-0.35438547,6,1,0.012306888,0.32196125,-0.83486646,-0.10949403,0.039278325,0.47196171,2.4194996,0.14932033,0.010942803,-0.37598673,0,-684.79602,0.140395326,0.00826563,3.2,1,1,4.8,0.035129935,-0.015927536,1,0.043093178,-0.885587943,-1.525295479,0.69881171,0.21461703,0.050801169,-0.23104018,-19.301758,1,-0.8,-8053.31046,0.015650004,0,0,1.6244147,-0.036539745,0.23539816,1,-6.69E-05,-0.19158927,-83.48571555,-0.023970857,0.071363166,0.001805003,0.018725475,-0.011165977,-0.049781431,-0.023187011,0.034352988,-19.25,-0.45233399,-1.1528225,-0.053333335,3.9805498,5.4550815,0.03498587,0.066004101,0.019224046,0.087337817,0,-0.044183999,-0.05025038,0.75677979,1.07E-08,1.10E-08,8.58E-09,0.065161,0.000939,0.064222
10342,200304,0.48054892,-1.6592274,-0.031106367,0.034601197,0,11,10.04702882,0.008054194,21,1.025974,0.94032401,0.049652101,-0.037056234,-2.2843826,0.28728348,-0.091264836,1.233095551,0.53479916,0.106932072,0.738754471,0.007515377,-2.2934098,-282.35974,0.17516242,0.044188406,-0.058028132,0.128625383,-12.430965,-0.10862815,-1.0417911,1,-0.023661112,-0.67065203,0,-0.003648549,0.000427619,-0.001554807,-0.06666665,0,0.157572098,-1.2166702,-0.4,0,-0.14405221,0.030353894,0,0.03858579,-1,0.93099999,-0.003561888,-0.000254421,0.000591513,-0.017809439,-0.028495103,0.006614935,-0.035110045,0,0,0,0,-4.8294315,-0.4,0.11826987,0.035967898,0.228582125,-0.5330286,-0.8235302,0.000736656,0.59863645,-13.798763,-17.496893,0,-0.17,2.3699999,-0.014226731,-172,0.290191537,-0.042194095,-0.4651041,0.43828085,-13,-0.130112578,0.033931863,-0.35777089,0.012962751,-0.04680347,-0.046767273,-0.036136804,1.0124898,102.6932,-0.016343736,-0.030542617,3.96E-09,0,0.072618626,0.02927663,-0.3009119,-0.674020605,-0.449792186,-0.487230445,-1.005610294,-0.24261075,-0.068670645,-1.4808587,0.33535349,0.27101421,-0.93529421,4,-0.031073403,1966.2,-0.028780932,0.04883218,0.34171045,0.34171045,-0.020613231,-0.024336513,0.003891944,-0.0160146,0,0.001337688,0.35786879,-0.008031184,-0.013333334,-0.11892481,9,-0.64343095,-0.024678795,-0.089959524,0.028495103,0.019182878,2,0.42853573,0,0.31117478,0.19690154,-892.74066,-3.0246904,-0.119787526,0.009437646,-0.7928007,4.6,0,0.027917938,0.55238098,-0.50476193,-0.090694863,0.11545894,0.41769648,1.1152561,0.133269306,0.014649417,0.644458002,0,-7.993,0.259590842,0.01194261,3,3,3,3.4,0.16922939,-0.017873048,0,0.57890362,-0.26375765,0.442971259,0.72835231,0.12034384,0.28590381,-0.052884635,-4.54852974,1,-1,-2153.7246,-0.011882991,0,1,1.0204082,0.014770665,0.23212497,0.6,-0.000924667,-0.17035224,-2.229280265,-0.012937177,0.003748126,-0.001818574,0.039145164,-0.019569993,-0.014770619,0.064224988,-0.044654995,-25,-2.0461841,-2.5040388,0.14953271,8.5278902,3.8117876,0.29405895,0.041811975,0.020171573,0.075649351,0,-0.14360534,-0.017385018,0.29826513,1.18E-08,8.59E-09,1.03E-08,0.042494,0.000939,0.041555
11775,200304,3.6893008,0.113270848,-0.089644123,0.1803959,1,17,9.50264344,0.22221345,15.2,1,1.005206752,0.017313762,-0.10767905,0.26066211,2.2478368,-0.10053015,0.475166284,0.58420837,0.356657675,0.537696535,0.00756809,-2.1852269,-1382.16,0.27286804,0.53586894,-0.003879149,0.16521251,1.9612427,0.55510926,-1.1736262,0,0.075432293,0.61079359,-0.4,0.21167763,0.18982911,0.000195988,-0.2,0,0.02962603,0.26328865,-0.2,0,-0.001323975,0.30669928,0,0.013458972,-1,0.477599994,0.099977143,-0.065947562,0.053474225,-0.071158737,0.035962943,0,0.035962965,0,0,0.6,1,-0.64349723,-0.4,1.5877616,0.45822901,-0.16399413,0.768570878,-48.4545472,-0.02090209,-0.3197172,-1.9950221,-5.9824519,0,0,1.1,-0.075394817,-187,0.26356641,-0.054545455,0.91340303,0.55209833,-7,0.11230088,-0.15360054,0.309744,-0.098036058,-0.299651766,-0.28072478,-0.243338984,0.51668352,76.9941996,-0.022790179,-0.042943694,1.31E-07,0,0.12351861,0.102665035,0.067005053,0.53929508,0.44341192,0.29536846,0.47151577,0.32884634,0.11692315,-0.64111185,-0.59191924,2.001009,-0.52234054,3,-0.061965805,4574.7998,-0.37412101,-0.05633543,-0.043010812,-0.043010812,-0.000319096,0.00131622,-0.004045147,-0.021266447,1,0.079363644,0.013484178,0.00705505,0.026244007,0.32559776,8,-0.42263988,0.038620841,0.17103907,-0.005951205,-0.023222903,5,1.1500009,0,0.19271013,0.13743111,-113.442397,-1.00981821,-0.13483198,-0.070384338,1.095235676,7,1,0.066842748,0.11534908,9.1697998,-0.020047151,0.94624352,-2.5958297,2.574054,0.21852162,0.09151005,-1.8210347,0,1.25934,0.111763132,-0.020846143,5,4.6,4.4,3.8,0.020069992,-0.024555054,0.2,-0.094016053,-0.946359502,-0.900361334,-1.2248324,0.06385275,4.6582141,-0.023898631,-0.047307175,0,-0.6,-14898.72914,-0.028741384,0,0,0.93666923,0.29679519,0.164903816,0.2,-0.016800003,-0.13132431,-0.398687021,-0.028763976,0.031081704,-0.002470466,0.45971256,-0.003385997,0.30899543,-0.012238609,0.015624606,-23.336,0.45314386,-0.60604709,0.074074075,8.1461458,8.9317102,-0.070959747,0.118913012,-0.001032125,0.145512241,1,-0.08489976,-0.056593521,0.76005369,4.14E-08,3.21E-08,2.73E-08,0.148315,0.000939,0.147376
14816,200304,0.62898493,0.27069351,-0.01351852,0.027897298,0.2,14.2,8.68200218,0.040053033,47,0.97580647,0.3493,-0.006790672,-0.099981867,-1.2245075,0.39485458,0.070349574,0.249756154,0.3265045,-0.136378847,0.149000935,0.007883953,-1.1778629,-1003.566512,0.18319766,0.083759807,-0.016319895,0.058554758,-2.0834215,-0.31349921,-1.1084924,0,0.00123273,0.85478961,0,0.035144508,0.002451299,0.001724622,0.38000002,1,0.235780968,0,-0.4,0,-0.14673065,0.3406159,0,-0.014277986,0,0,-0.000357289,-0.000677324,0.022735077,-0.084267616,0,-0.014533687,0.009494385,0,0,1,1,-4.096539,0,0.58728302,0.059724607,0.82163441,-0.051698806,-37.58520001,-0.001238671,1.2026871,-7.2052307,-17.596853,0,0.079999998,1.21,-0.18712649,-929,-0.006125348,-0.17018488,0.192883679,0.35941431,-8,0.069496121,-0.014287576,-0.041342624,-0.048121583,-1.00000004,-0.999999942,-1,0.62225145,49.5909986,-0.011293981,-0.015250854,5.12E-09,0,-0.074947998,0.052889707,-0.35107464,-0.060280528,0.071697146,0.12521225,0.10693475,0.036477476,-0.020704357,-0.81584769,-0.57024664,0.1120515,-0.24215044,3.8,-0.029513903,4066.0667,-0.36745483,-0.027372385,-0.063914739,-0.063914739,-0.009719636,-0.016955141,-0.019588185,-0.037132178,0,0.026316028,-0.008407093,0.04260844,0.025086105,0.005120582,3.6,-0.6059292,0,-0.106600904,0.027262306,0.01450495,1,0.50147736,0,0.222019,0.1830425,-206.68251,-1.1884568,-0.299190864,-0.1528248,-0.47049803,5.2,1,0.01450495,0.24080868,-0.091585852,-0.037403304,0.15959015,0.90754926,4.0496244,0.1794622,0.053213184,1.0726469,0,-57.861198,0.18639575,-0.004303747,3.4,1.4,1.8,3.2,0.026621401,-0.016190209,0,-0.4396641,-0.034175913,-0.2849941,0.3884941,0.12918788,0.43055269,-0.055424348,-3.9614685,1,-1,-36423.41,-0.00275901,0,0.8,1.2325553,-0.006999833,0.23848973,0.6,-0.000113113,-0.058038186,-1.139141662,-0.013483961,0.026023313,-0.005573113,0.082863115,-0.003327996,-0.012607583,-0.000635982,0.003963977,-9.98199996,0.30247006,-0.82656282,0,6.5454841,9.8056755,-0.084670067,0.080665062,0.022094261,0.040417209,0,-0.071004025,-0.056704965,0.55577528,4.31E-08,3.70E-08,4.36E-08,0.015773,0.000939,0.014834
12236,200304,0.62894404,-0.55139595,0.03747517,0.10323026,0,16,7.6096279,0.000863452,41.8,1,0.36626887,-0.331208713,-0.30949429,-1.6089256,0.2052296,0.11496863,1.08704993,1.0727574,-0.047975738,-0.318411606,0.009261873,-1.6633861,-560.177508,0.082589485,0.069460489,-0.015851557,0.31483,-1.6272846,0.99378684,-1.2546226,0.2,0.014767397,-0.71625519,-0.6,-0.000335827,0.083200932,-0.004239121,0,1,-0.010247034,-0.568905468,-0.2,0,-0.003888736,0.53490245,0,0.040438622,0,-0.44400001,-0.051669236,-0.13030937,0.023196441,-0.13835903,0.002830279,0,0.002830279,0,0,0.2,0.2,-4.1732059,0,0.4930793,0.041849427,-0.5937618,0.313675152,-34.003334,0.001426534,-0.16580884,-27.921635,-17.845688,0,0,0.61000001,-0.015364018,-174,0.285695816,-0.16393442,0.39835119,0.20939161,-8,0.522993364,0.017517647,0.33849478,0.027245708,-0.091111171,-0.046172366,-0.058358953,0.35081968,81.1923992,-0.079691371,-0.051368305,8.60E-09,0,0.023612795,0.124418015,-0.40983608,-0.44937786,-0.15165634,-0.1228896,-0.42686421,0.30469713,-0.003412443,-1.5006816,-0.89622849,0.25083339,-0.14585632,3,-0.112597466,2088.6667,-0.2971628,-0.003783214,0.10226379,0.10226379,-0.031608909,0.003082332,-0.056260783,-0.033818649,0.2,0.28309166,0.076680467,0.043314569,0.009495342,0.3245396,7,-0.31261832,0.002830279,-0.11547294,-0.025722241,-0.010695122,0,0.29325104,0,0.19982232,0.12457791,-1111.0886,-2.086107,-0.375462004,-0.020475177,-0.62648296,5.4,1,0.015980454,1.0414358,-0.55975521,-0.14687355,0.25749981,1.6479357,3.1274259,0.155079248,0.050660681,-0.407927582,0,-0.866,0.061938184,0.003745462,4,4,4,4,-0.76575959,-0.089819031,0.8,0.02523499,3.283018488,2.611569705,0.68493879,0.14763486,0.21213034,-0.004319371,-0.10373934,0,-1,-44815.9924,0.000431001,0,0,1.2760377,-0.065057531,0.23712276,0,-0.002336087,-0.50117916,-5.672017655,-0.022358371,-0.020186746,0.000697752,0.11395767,0.029226005,-0.075631268,0.14234501,-0.17157102,-30.530001,-1.5856777,-2.3925848,-0.082644626,3.9805498,5.4550815,0.15860569,0.049640567,0.022192175,0.068255693,0.2,-0.082657002,-0.253138704,0.56292593,7.88E-09,5.96E-09,7.80E-09,-0.317989,0.000939,-0.318928
15202,200304,0.95675218,-0.33889094,0.037775995,0.08110071,0.2,12,12.4828172,0.000337854,47,0.98958331,0.64165568,0.028333328,-0.052546419,-1.564652,0.39595708,-0.17697066,0.265825401,0.60968894,0.427780997,0.289252198,0.005713063,-1.7673135,-1311.8552,0.18993391,0.14102268,-0.019570678,0.042258705,-1.5238687,-0.022256136,-1.0902333,0,-0.008864312,0.25950021,0,-0.017660439,0.004816152,-0.002565529,-2,0,0.368260824,-2.3330109,-1,0,-0.31253338,-0.00423888,0,-0.044801189,-1,-0.31,0.00304159,0.003558883,0.017412575,-0.040073048,-0.001507214,0.01786866,-0.019375877,0,0,1,3,-5.0799732,-1,0.27470428,0.065376721,0.367257538,0.316534399,-9.5494623,0,-0.039743267,-6.8119979,-17.175627,0,0,1.9,-0.010595098,-929,-0.039954092,-0.052631579,-0.46702337,0.27298465,-12,0.45953232,0.098591603,-0.025031745,0.000768685,-0.687033349,-0.679863943,-0.680365601,0.70575178,49.5909986,-0.014050617,-0.014616431,1.70E-09,0,-0.064584531,-0.019504671,-0.23103687,-0.13084908,0.078836299,0.098934919,0.057623319,-0.12525588,-0.14778072,-0.80450672,-0.077822432,0.47828993,-0.1111935,5.2,-0.056495555,2892.9333,-0.32660899,-0.036245597,-0.086611196,-0.075439485,-0.004829181,-0.021025605,-0.005871043,-0.020983696,0.4,0.046967238,0.004417752,0.014821743,-0.001425093,0.04443723,4,-0.77585804,-0.001613147,-0.302640436,0.027488388,0.026740219,0,0.69782305,0,0.36440471,0.19265211,-147.7684,-0.84832031,-0.34509681,-0.126215492,-0.24843915,6,0,0.026740219,1.2914586,-0.38653675,-0.08200714,0.044350039,0.65030175,1.8704518,0.168074228,0.001701657,1.276312642,0,11.91656,0.18639575,-0.010328079,4.2,1.2,1,4.2,-0.004607648,-0.018680954,0,-0.14836566,-0.687121984,-1.959173616,-0.38570777,0.13880421,0.8502624,-0.002617847,-8.0772171,0,-0.8,-27715.59,-0.009858012,0,0,0.78000462,-0.026660066,0.22869694,0,-0.000444954,-0.058197197,-1.325236761,-0.01468563,0.025229355,-0.003887215,0.1436616,0.001261026,-0.025944555,-0.10066602,0.099404991,-13.57,0.088339426,-1.0026156,-0.020717131,6.9816279,10.751189,-0.14804646,-0.077135041,0.010873532,0.057809922,0.6,-0.029201999,-0.103689472,0.773518316,3.76E-08,3.03E-08,4.13E-08,0.156798,0.000939,0.155859
11674,200304,2.8441195,-0.98782462,-0.005865517,0.040200692,0,12,5.25101052,0.002782537,47,1.0025189,0.80864024,-0.027050188,-0.51855946,-0.96998537,0.91576427,1.4409606,-0.135414016,0.2202621,-0.069104505,0.058263561,0.00342217,-3.0779574,-316.6181416,0.060536716,0.16625704,-0.010925338,0.019232769,29.335022,0.10599065,-1.1429639,1,-0.01066165,-0.09618488,0,0.003525376,-0.000835406,-0.001974412,0,0,0.16147995,-0.77741301,0,0,-0.15440263,-0.20617637,0,-0.023639291,-1,0.103,-0.056506742,-0.046848543,0.060454628,-0.035998747,-0.26879901,-0.022891188,-0.24158043,0,0,0,0,-6.4233232,0,2.119745,0.043569885,0.213726555,0.02167125,-2.303551,-0.005671067,-0.37756795,-10.369293,-16.583649,0,0.01,3.98,-0.10413253,-929,0.04084023,-0.017587939,-0.261887742,0.077543169,-11,-0.084637714,-0.026116678,0.030711893,0.018585533,-0.60471351,-0.63381443,-0.601148967,0.81818181,76.8829998,-0.008489769,-0.016243165,4.55E-10,0,0.070435092,0.010489577,-0.083725557,-0.17314538,-0.062049571,-0.067909785,-0.26868302,-0.106663806,-0.32182908,-0.97628856,-0.72708118,2.1653354,-0.081998594,4,-0.016658066,3250.0667,-0.10535049,-0.009767995,-0.12176315,0.059594536,-0.005607309,-0.010443582,-0.022901172,-0.008092776,0,0.051113151,-0.012653498,0.03045943,0.016838994,0.032201126,3,-0.95498341,-0.15315145,-1.286865,0.047851991,0.10091262,0,0.33066362,0,0.508862708,0.157121684,-164.66452,-1.0547905,-0.713829304,0.087384975,-0.057547878,3.8,0,0.10091262,1.4650456,1.9096385,-0.050796501,0.37302953,1.5733691,2.5254252,0.113811612,0.06867789,0.23454912,0,9.9153892,0.541040218,0.003759979,3.6,3,3.8,4.8,0.064958736,-0.009181277,1,-0.14144635,0.160629306,0.013830611,-0.26673377,0.072346918,1.1609889,-0.016676748,-0.15577459,1,-1,-17790.254,-0.002776995,0,0.4,0.095527574,0.050150055,0.24175827,0,-0.001256814,-0.10236318,-4.715609431,-0.01169301,-0.087320574,-0.003424518,0.11995949,0.015714988,-0.36226505,-0.068698987,0.052983999,-7,-0.48308524,-1.6093979,-0.18697333,6.8998508,8.3919554,0.0243588,0.092534939,0.01008683,0.039501322,0,-0.075222336,-0.145869439,0.447251798,2.37E-08,1.75E-08,2.30E-08,0.043208,0.000939,0.042269
10272,200304,0.73866957,-6.5566745,0.089803905,0.20423828,0.2,16.8,6.3734994,0.001677394,35.8,1,0.56822562,-0.009688252,-0.056441974,-1.8190998,0.2377547,-0.092669815,1.815138413,1.2665691,0.296200553,1.430733725,0.007562647,-1.8716948,-190.30901,0.43581182,0.064662032,-0.068219483,0.36722744,-1.0658975,-0.46673,-1.0472438,0.2,0.009652911,0.18935189,-0.6,0.084801465,0.1056367,-0.00519493,0,0,0.14054465,-1.204255624,-0.6,-1,-0.33057943,0.1125114,0,0.11677543,0,-0.259,0.072875135,-0.02709857,0.098813482,-0.023808818,-0.00789668,-0.15844263,0.12272836,0,0,0.2,0.2,-4.1622992,0,0.28675985,0.049715912,0.17377118,0.012590012,-47.35273,0.002,-0.29937002,-15.044729,-18.537064,0,-0.090000004,0.31999999,0,-204,-0.044892793,-0.21875,-0.20151806,0.46804526,-5,0.37469345,0.019276876,0.30670986,-0.26288065,-0.081235397,-0.089765457,-0.097886491,0.88925618,100.6148,-0.027681237,-0.043276892,8.63E-09,0,0.072618626,0.010083474,-0.24694589,0.26845717,0.30046102,0.34957272,0.63421029,0.19194858,-0.032410517,-1.0038184,0.69131309,0.35923994,0.12984054,5.2,-0.07149756,1632.7333,-0.17958409,0.023845938,0.002309518,0.002309518,-0.017841395,-0.08151973,-0.000945362,-0.024297382,0.2,0.005262299,0.18452081,0.004466501,-0.05172414,0.001890402,6,-0.72848094,0,-0.076664619,-0.027070995,-0.024374226,0,0.54334605,0,0.16195111,0.25000411,-233.32195,-3.3976815,-0.40151528,-0.060875595,-0.27050677,3.6,0.8,0.09253712,15.112625,3.1330628,-0.14459223,0.17753176,0.5901584,1.841785,0.14885825,0.10956588,0.025750998,0,-1.8971001,0.35835644,-0.002411976,3,1.8,3.2,3,0.1273075,-0.030708653,0.2,-0.090086788,0.343802045,0.235967268,-0.064594865,-0.027726648,0.47645777,-0.009685261,-3.5815449,0,-0.8,-22985.761,0.014737964,0,1,1,0.04714039,0.23903579,0,-0.000741466,-0.16429347,-3.481834696,0.009654957,-0.026347842,0.008653867,0.14846922,-0.009644985,-0.00344804,-0.087435007,0.097079992,-29.5,-0.46780899,-1.3758737,-0.022966508,11.084785,10.538464,-0.13841826,0.118913012,-0.001257037,0.079377321,0,-0.049172567,-0.173764,0.56113034,1.36E-08,1.68E-08,1.17E-08,0.239631,0.000939,0.238692
